question_id,image_filename,question_type,topic,difficulty_level,irt_difficulty_b,correct_answer,
DE_04_M02_Q01,DE_04_M02_Q01.png,MCQ,Oxyz,N_B,-1.5,B,
DE_04_M02_Q02,DE_04_M02_Q02.png,MCQ,Oxyz,N_B,-1.5,C,
DE_04_M02_Q03,DE_04_M02_Q03.png,MCQ,ML,T_H,-0.5,A,
DE_04_M02_Q04,DE_04_M02_Q04.png,MCQ,CSCCSN,T_H,-0.5,D,
DE_04_M02_Q05,DE_04_M02_Q05.png,MCQ,NHTP,T_H,-0.5,D,
DE_04_M02_Q06,DE_04_M02_Q06.png,MCQ,HS,T_H,-0.5,B,
DE_04_M02_Q07,DE_04_M02_Q07.png,MCQ,TK,N_B,-1.5,B,
DE_04_M02_Q08,DE_04_M02_Q08.png,MCQ,THXS,T_H,-0.5,A,
DE_04_M02_Q09,DE_04_M02_Q09.png,MCQ,LG,N_B,-1.5,A,
DE_04_M02_Q10,DE_04_M02_Q10.png,MCQ,HS,T_H,-0.5,C,
DE_04_M02_Q11,DE_04_M02_Q11.png,MCQ,HHKG,T_H,-0.5,B,
DE_04_M02_Q12,DE_04_M02_Q12.png,MCQ,HHKG,T_H,-0.5,C,
DE_04_M02_Q13,DE_04_M02_Q13.png,TrueFalse,HS,V_D,1,D S D D,
DE_04_M02_Q14,DE_04_M02_Q14.png,TrueFalse,HS,V_D,1,D S D D,
DE_04_M02_Q15,DE_04_M02_Q15.png,TrueFalse,Oxyz,V_D,1,D D S S,
DE_04_M02_Q16,DE_04_M02_Q16.png,TrueFalse,THXS,V_D,1,D S S S,
DE_04_M02_Q17,DE_04_M02_Q17.png,ShortAnswer,HHKG,V_D,1,8976,
DE_04_M02_Q18,DE_04_M02_Q18.png,ShortAnswer,THXS,V_D,1,55,
DE_04_M02_Q19,DE_04_M02_Q19.png,ShortAnswer,Oxyz,V_D,1,104,
DE_04_M02_Q20,DE_04_M02_Q20.png,ShortAnswer,HHKG,V_D,1,4,
DE_04_M02_Q21,DE_04_M02_Q21.png,ShortAnswer,HS,V_D_C,2,688,
DE_04_M02_Q22,DE_04_M02_Q22.png,ShortAnswer,HHKG,V_D_C,2,16,
